month_date,hires,pct_of_baseline,usable
1963-01-01,65,0.3,TRUE
1963-02-01,12,0.1,TRUE
1963-03-01,13,0.1,TRUE
1963-04-01,10,0,TRUE
1963-05-01,7,0,TRUE
1963-06-01,12,0.1,TRUE
1963-07-01,7,0,TRUE
1963-08-01,9,0,TRUE
1963-09-01,17,0.1,TRUE
1963-10-01,14,0.1,TRUE
1963-11-01,7,0,TRUE
1963-12-01,11,0.1,TRUE
1964-01-01,74,0.4,TRUE
1964-02-01,7,0,TRUE
1964-03-01,15,0.1,TRUE
1964-04-01,17,0.1,TRUE
1964-05-01,6,0,TRUE
1964-06-01,9,0,TRUE
1964-07-01,8,0,TRUE
1964-08-01,10,0,TRUE
1964-09-01,23,0.1,TRUE
1964-10-01,25,0.1,TRUE
1964-11-01,7,0,TRUE
1964-12-01,2,0,TRUE
1965-01-01,100,0.5,TRUE
1965-02-01,23,0.1,TRUE
1965-03-01,14,0.1,TRUE
1965-04-01,11,0.1,TRUE
1965-05-01,23,0.1,TRUE
1965-06-01,25,0.1,TRUE
1965-07-01,18,0.1,TRUE
1965-08-01,14,0.1,TRUE
1965-09-01,18,0.1,TRUE
1965-10-01,11,0.1,TRUE
1965-11-01,6,0,TRUE
1965-12-01,13,0.1,TRUE
1966-01-01,74,0.4,TRUE
1966-02-01,18,0.1,TRUE
1966-03-01,14,0.1,TRUE
1966-04-01,18,0.1,TRUE
1966-05-01,17,0.1,TRUE
1966-06-01,18,0.1,TRUE
1966-07-01,13,0.1,TRUE
1966-08-01,14,0.1,TRUE
1966-09-01,26,0.1,TRUE
1966-10-01,20,0.1,TRUE
1966-11-01,20,0.1,TRUE
1966-12-01,7,0,TRUE
1967-01-01,113,0.5,TRUE
1967-02-01,23,0.1,TRUE
1967-03-01,26,0.1,TRUE
1967-04-01,23,0.1,TRUE
1967-05-01,17,0.1,TRUE
1967-06-01,19,0.1,TRUE
1967-07-01,18,0.1,TRUE
1967-08-01,17,0.1,TRUE
1967-09-01,22,0.1,TRUE
1967-10-01,21,0.1,TRUE
1967-11-01,10,0,TRUE
1967-12-01,11,0.1,TRUE
1968-01-01,136,0.6,TRUE
1968-02-01,14,0.1,TRUE
1968-03-01,30,0.1,TRUE
1968-04-01,14,0.1,TRUE
1968-05-01,18,0.1,TRUE
1968-06-01,20,0.1,TRUE
1968-07-01,20,0.1,TRUE
1968-08-01,24,0.1,TRUE
1968-09-01,36,0.2,TRUE
1968-10-01,27,0.1,TRUE
1968-11-01,18,0.1,TRUE
1968-12-01,15,0.1,TRUE
1969-01-01,148,0.7,TRUE
1969-02-01,21,0.1,TRUE
1969-03-01,23,0.1,TRUE
1969-04-01,17,0.1,TRUE
1969-05-01,16,0.1,TRUE
1969-06-01,22,0.1,TRUE
1969-07-01,35,0.2,TRUE
1969-08-01,18,0.1,TRUE
1969-09-01,35,0.2,TRUE
1969-10-01,26,0.1,TRUE
1969-11-01,17,0.1,TRUE
1969-12-01,14,0.1,TRUE
1970-01-01,287,1.4,TRUE
1970-02-01,27,0.1,TRUE
1970-03-01,33,0.2,TRUE
1970-04-01,24,0.1,TRUE
1970-05-01,33,0.2,TRUE
1970-06-01,31,0.1,TRUE
1970-07-01,19,0.1,TRUE
1970-08-01,31,0.1,TRUE
1970-09-01,59,0.3,TRUE
1970-10-01,44,0.2,TRUE
1970-11-01,24,0.1,TRUE
1970-12-01,19,0.1,TRUE
1971-01-01,216,1,TRUE
1971-02-01,21,0.1,TRUE
1971-03-01,29,0.1,TRUE
1971-04-01,27,0.1,TRUE
1971-05-01,22,0.1,TRUE
