year,hires,usable,note
2015,172955,TRUE,
2016,188286,TRUE,
2017,204406,TRUE,
2018,222968,TRUE,
2019,232696,TRUE,
2020,198762,TRUE,
2021,242228,TRUE,
2022,254403,TRUE,
2023,235542,TRUE,
2024,207891,TRUE,
2025,149720,FALSE,CENSORED - do not interpret
2026,13378,FALSE,CENSORED - do not interpret
