year,n_postings,n_observed,disclosure_pct
2010,2,0,0
2015,30,1,3.33
2016,51061,12,0.02
2017,158,29,18.35
2018,614,109,17.75
2019,591,84,14.21
2020,6604,184,2.79
2021,69586,592,0.85
2022,155419,1859,1.2
2023,333258,13662,4.1
2024,417847,16774,4.01
2025,454952,17871,3.93
2026,84095,4139,4.92
