onet_code,region,year,n_observed
unknown,South Aegean,2022,29
unknown,South Aegean,2023,157
unknown,South Aegean,2024,375
unknown,South Aegean,2025,264
unknown,Thessaly,2023,76
unknown,Thessaly,2024,185
unknown,Thessaly,2025,197
unknown,West Greece,2023,75
unknown,West Greece,2024,175
unknown,West Greece,2025,126
unknown,West Macedonia,2023,17
unknown,West Macedonia,2024,31
unknown,West Macedonia,2025,14
