year,all_postings,with_rcid,excluding_indeed
2010,2,1,2
2015,30,2,3
2016,51061,10,20
2017,158,15,41
2018,614,137,274
2019,591,243,101
2020,6604,5822,5894
2021,69586,52045,67848
2022,155419,131761,131217
2023,333258,210910,157652
2024,417847,222283,159512
2025,454952,266286,256625
2026,84095,49684,48013
